message,segment,proof,arm,n,lift_raw,msg_marginal,lift_shrunk,shrink_weight,ci_low,ci_high
1,1,1,1,28,-0.018615468275681835,0.027768479607950966,-0.0029822560814551733,0.66296072439873,-0.18276082,0.1720861
1,1,1,2,38,-0.03756990949600981,0.027768479607950966,-0.01976419518434835,0.7274846448489792,-0.19247615,0.16877073
1,1,2,1,33,-0.0016606067761675482,0.027768479607950966,0.007208208948649469,0.6986377487544738,-0.14478433,0.18062906
1,1,2,2,34,0.1916568788730378,0.027768479607950966,0.14329104724254516,0.7048855694034714,0.013002546,0.24029823
1,1,3,1,41,-0.06290358921515772,0.027768479607950966,-0.039536121888285446,0.742285936229605,-0.18442006,0.15510471
1,1,3,2,34,0.10608090681872713,0.027768479607950966,0.08296977945378682,0.7048855694034714,-0.08381768,0.19957718
1,2,1,1,24,0.2690710993531249,0.027768479607950966,0.1792343165341958,0.627700756362278,0.00650789,0.2536374
1,2,1,2,32,0.06357099574934415,0.027768479607950966,0.05254810501912795,0.6921196631352943,-0.099476725,0.16909117
1,2,2,1,18,0.02771561334731446,0.027768479607950966,0.027738958925422403,0.5584030754801934,-0.11672211,0.17133053
1,2,2,2,23,0.18339213918592984,0.027768479607950966,0.12389753475795932,0.6177020602824255,0.0019772232,0.2065632
1,2,3,1,31,0.11774176717892659,0.027768479607950966,0.08942837817846144,0.6853133883973054,-0.122745365,0.21923773
1,2,3,2,24,-0.21339278944059248,0.027768479607950966,-0.12360863137910658,0.627700756362278,-0.25480667,0.07493225
1,3,1,1,12,0.059946614780452774,0.027768479607950966,0.042487018497883645,0.4574080757330702,-0.2510832,0.21921442
1,3,1,2,13,0.010855334809161676,0.027768479607950966,0.01969531409794188,0.47733083386047737,-0.11955255,0.15178266
1,3,2,1,10,0.0869663804474972,0.027768479607950966,0.052195316618899826,0.4126301214152326,-0.049803652,0.12988396
1,3,2,2,11,-0.07561566798614823,0.027768479607950966,-0.017297324290211472,0.4359063255528997,-0.12156238,0.07753586
1,3,3,1,11,0.05766365096027194,0.027768479607950966,0.040799973903915515,0.4359063255528997,-0.02803049,0.12089294
1,3,3,2,12,0.2164017173135368,0.027768479607950966,0.1140508458861618,0.4574080757330702,-0.056743436,0.24281791
1,4,1,1,26,-0.3305930871954778,0.027768479607950966,-0.2038073077312076,0.6462070958244924,-0.37966293,0.09543719
1,4,1,2,30,0.009739282675363448,0.027768479607950966,0.015541089434082403,0.6781993795723497,-0.16009654,0.20666848
1,4,2,1,24,-0.03332180926149357,0.027768479607950966,-0.010577940921789418,0.627700756362278,-0.19546871,0.17796798
1,4,2,2,22,-0.46014872671187573,0.027768479607950966,-0.26847117446421326,0.607151480282048,-0.4291963,-0.036496848
1,4,3,1,36,-0.36720236889147134,0.027768479607950966,-0.25528144501971906,0.7166349762344145,-0.44102028,0.031682845
1,4,3,2,33,0.09277777626320059,0.027768479607950966,0.07318642827128631,0.6986377487544738,-0.21385919,0.3418761
1,5,1,1,10,0.004756593508189244,0.027768479607950966,0.018273082252612784,0.4126301214152326,-0.022613851,0.09064997
1,5,1,2,9,0.0997631977069249,0.027768479607950966,0.055655658972035574,0.3873503515319974,-0.052336443,0.12479553
1,5,2,1,8,0.3735514879109895,0.027768479607950966,0.15218006051445943,0.3597966872839402,0.013800841,0.20248576
1,5,2,2,12,0.3555604740173391,0.027768479607950966,0.1777031850114545,0.4574080757330702,0.009633511,0.27181536
1,5,3,1,11,-0.17874998866131483,0.027768479607950966,-0.0622542270541178,0.4359063255528997,-0.25574318,0.10044775
1,5,3,2,13,-0.4017036228565715,0.027768479607950966,-0.17723179718125193,0.47733083386047737,-0.36513972,0.108335
1,6,1,1,15,0.039093496963739156,0.027768479607950966,0.03357920448252145,0.5130875028284732,-0.067574374,0.09016988
1,6,1,2,14,0.10867076497785377,0.027768479607950966,0.06788326059688168,0.49584237089863703,-0.059760723,0.19186383
1,6,2,1,16,-0.013506468763676817,0.027768479607950966,0.005926111802819851,0.5291918867703651,-0.08363606,0.10303761
1,6,2,2,7,-0.25138675496027263,0.027768479607950966,-0.06425445115348019,0.32964787819137736,-0.13291368,0.0707325
1,6,3,1,9,0.05290166076497035,0.027768479607950966,0.0375038261642398,0.3873503515319974,-0.0759946,0.118920036
